episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,1.000,1.000,,,,,
50,0.0488,0.820,0.900,,,,,
100,0.0476,0.800,0.890,0.0006836932152509689,1.2665040493011475,0.011068892665207386,0.1099427193403244,1.0
150,0.0464,0.620,0.800,0.0012065339833498001,1.1018624305725098,0.011117396876215935,0.14215458929538727,1.0
200,0.0452,0.540,0.760,0.0013253618963062763,1.0084974765777588,0.022044483572244644,0.12015064060688019,1.0
250,0.0441,0.630,0.810,0.0007189196767285466,1.128474473953247,0.014434229582548141,0.09278330206871033,1.0
300,0.0430,0.550,0.770,0.0007901032804511487,0.9839698672294617,0.011355211026966572,0.11941714584827423,1.0
350,0.0420,0.610,0.800,0.0008152014343068004,1.1321089267730713,0.01273512002080679,0.12018789350986481,1.0
400,0.0409,0.670,0.830,0.0024838424287736416,1.0673080682754517,0.06548670679330826,0.16215814650058746,1.0
450,0.0399,0.520,0.750,0.0007555284537374973,1.1494765281677246,0.013293782249093056,0.11124500632286072,1.0
500,0.0389,0.620,0.800,0.00029650109354406595,1.2656413316726685,0.008726985193789005,0.15203002095222473,1.0
550,0.0380,0.660,0.820,0.0009207403054460883,1.0471956729888916,0.02354542911052704,0.12711647152900696,1.0
600,0.0370,0.550,0.770,0.0003383942530490458,0.9934899806976318,0.009725691750645638,0.13465695083141327,1.0
650,0.0361,0.620,0.810,0.0020808845292776823,1.2197136878967285,0.06606896966695786,0.1534235179424286,1.0
700,0.0352,0.660,0.830,0.003021138720214367,1.1350394487380981,0.02993287704885006,0.145911306142807,1.0
750,0.0344,0.610,0.790,0.001522865379229188,1.0568125247955322,0.012166997417807579,0.1671971082687378,1.0
800,0.0335,0.600,0.780,0.001961560919880867,0.9936031103134155,0.018912654370069504,0.13406285643577576,1.0
850,0.0327,0.620,0.790,0.003733247285708785,1.106557846069336,0.08689716458320618,0.1310676634311676,1.0
900,0.0319,0.620,0.790,0.003985031507909298,1.0378062725067139,0.047821372747421265,0.14943723380565643,1.0
950,0.0311,0.500,0.740,0.003439513733610511,0.9813300967216492,0.02599862776696682,0.187155619263649,1.0
1000,0.0303,0.560,0.770,0.0010044621303677559,0.8712825775146484,0.012227410450577736,0.11477202922105789,1.0
1050,0.0296,0.740,0.850,0.0018317499198019505,1.0219000577926636,0.02520635537803173,0.13496799767017365,1.0
1100,0.0288,0.590,0.780,0.0022072684951126575,0.970295250415802,0.022083887830376625,0.15225175023078918,1.0
1150,0.0281,0.460,0.730,0.001813168404623866,0.9845095872879028,0.027066797018051147,0.15698117017745972,1.0
1200,0.0274,0.540,0.770,0.0025370228104293346,0.9849270582199097,0.028925757855176926,0.15694384276866913,1.0
1250,0.0268,0.610,0.800,0.0013788152718916535,0.9463222026824951,0.020609846338629723,0.139847993850708,1.0
1300,0.0261,0.630,0.790,0.0003269605804234743,0.9106670618057251,0.00858807098120451,0.0858394131064415,1.0
1350,0.0255,0.640,0.800,0.0016964043024927378,0.8055640459060669,0.01738548092544079,0.1638144552707672,1.0
1400,0.0248,0.600,0.790,0.009373936802148819,0.961214542388916,0.15606553852558136,0.139505073428154,1.0
1450,0.0242,0.530,0.750,0.002399340970441699,0.8555514812469482,0.01930832862854004,0.17474152147769928,1.0
1500,0.0236,0.550,0.770,0.0013223306741565466,0.8829989433288574,0.021720731630921364,0.15354572236537933,1.0
1550,0.0230,0.570,0.780,0.0016946569085121155,0.7637603282928467,0.0164941418915987,0.16078993678092957,1.0
1600,0.0225,0.690,0.840,0.0034820956643670797,0.9812379479408264,0.023633301258087158,0.23217906057834625,1.0
1650,0.0219,0.730,0.860,0.0015938794240355492,0.8129700422286987,0.015998218208551407,0.15053454041481018,1.0
1700,0.0214,0.490,0.730,0.0011837603524327278,0.8626556396484375,0.012448406778275967,0.13349886238574982,1.0
1750,0.0208,0.640,0.810,0.0017866645939648151,0.9123831987380981,0.010895711369812489,0.14725306630134583,1.0
1800,0.0203,0.830,0.910,0.0004774605331476778,0.9138075113296509,0.005280743818730116,0.1264103651046753,1.0
1850,0.0198,0.570,0.780,0.0007324841571971774,0.9280604124069214,0.010477959178388119,0.12706570327281952,1.0
1900,0.0193,0.500,0.750,0.0005702323978766799,0.8288988471031189,0.017180126160383224,0.15474167466163635,1.0
1950,0.0189,0.600,0.800,0.0013881564373150468,0.8018204569816589,0.014329547062516212,0.1118990033864975,1.0
2000,0.0184,0.590,0.790,0.0012253094464540482,0.8095483779907227,0.04195522144436836,0.11323893070220947,1.0
2050,0.0179,0.620,0.800,0.00042474595829844475,0.8520563244819641,0.0046437992714345455,0.12452574074268341,1.0
2100,0.0175,0.650,0.820,0.0007760774460621178,0.8332209587097168,0.010564022697508335,0.1108359545469284,1.0
2150,0.0171,0.690,0.840,0.0006817617104388773,0.7959645986557007,0.00809318758547306,0.12881040573120117,1.0
2200,0.0166,0.700,0.840,0.0025824285112321377,0.7598684430122375,0.04585202410817146,0.23063431680202484,1.0
2250,0.0162,0.550,0.770,0.0018144315108656883,0.9923961758613586,0.02269342541694641,0.1728038489818573,1.0
2300,0.0158,0.490,0.740,0.0032787099480628967,1.0043315887451172,0.01882527396082878,0.28176262974739075,1.0
2350,0.0154,0.520,0.740,0.005420214030891657,0.8329567909240723,0.03400972858071327,0.2820533514022827,1.0
2400,0.0151,0.510,0.730,0.00111222208943218,0.8348391056060791,0.02419804222881794,0.14818963408470154,1.0
2450,0.0147,0.680,0.830,0.0019604498520493507,0.6437138319015503,0.021265987306833267,0.1553148627281189,1.0
2500,0.0143,0.700,0.850,0.0008077298407442868,0.7049163579940796,0.008344510570168495,0.14895957708358765,1.0
2550,0.0140,0.590,0.790,0.0017467045690864325,0.867034912109375,0.022049570456147194,0.12907257676124573,1.0
2600,0.0136,0.680,0.830,0.001033022184856236,0.7172050476074219,0.017314670607447624,0.13653463125228882,1.0
2650,0.0133,0.630,0.810,0.002957084449008107,0.722313642501831,0.02514820732176304,0.18933485448360443,1.0
2700,0.0130,0.660,0.830,0.0010853140847757459,0.6303932070732117,0.011160753667354584,0.17045268416404724,1.0
2750,0.0126,0.730,0.860,0.0014226725324988365,0.7754212617874146,0.024257604032754898,0.1174139454960823,1.0
2800,0.0123,0.610,0.780,0.0009084584889933467,0.8877941370010376,0.012261077761650085,0.0901641994714737,1.0
2850,0.0120,0.560,0.760,0.0015102408360689878,0.7217193841934204,0.022772422060370445,0.10795918852090836,1.0
2900,0.0117,0.710,0.850,0.0007193681667558849,0.8697044849395752,0.011966404505074024,0.10482553392648697,1.0
2950,0.0114,0.770,0.880,0.001099024317227304,0.8071011304855347,0.015501766465604305,0.12294012308120728,1.0
3000,0.0112,0.710,0.840,0.001241444842889905,0.5951305627822876,0.01249011792242527,0.14875178039073944,1.0
3050,0.0109,0.740,0.850,0.0005997693515382707,0.7455428838729858,0.00926275085657835,0.11743401736021042,1.0
3100,0.0106,0.730,0.850,0.0008264789939858019,0.8122309446334839,0.0065942308865487576,0.12646907567977905,1.0
3150,0.0103,0.610,0.790,0.00043848290806636214,0.7299902439117432,0.005348673555999994,0.08764586597681046,1.0
3200,0.0101,0.600,0.790,0.0008937864331528544,0.7559438943862915,0.012418814934790134,0.11275383085012436,1.0
3250,0.0100,0.600,0.780,0.0012995783472433686,0.6900440454483032,0.016876159235835075,0.12273532152175903,1.0
3300,0.0100,0.650,0.800,0.0006735595525242388,0.7332022190093994,0.006841117981821299,0.11837732791900635,1.0
3350,0.0100,0.740,0.860,0.0008025256101973355,0.7313319444656372,0.011949587613344193,0.10346327722072601,1.0
3400,0.0100,0.630,0.810,0.0012627535033971071,0.8162230849266052,0.019318286329507828,0.10574226081371307,1.0
3450,0.0100,0.510,0.740,0.0006322474218904972,0.7384808659553528,0.00791612546890974,0.1238565593957901,1.0
3500,0.0100,0.560,0.770,0.0016369258519262075,0.7790279388427734,0.027727818116545677,0.11229252070188522,1.0
3550,0.0100,0.740,0.860,0.0008821833180263638,0.7250858545303345,0.009939587675035,0.12218193709850311,1.0
3600,0.0100,0.790,0.880,0.0007403949275612831,0.7571370601654053,0.009954927489161491,0.09621402621269226,1.0
3650,0.0100,0.710,0.840,0.010162973776459694,0.7333906888961792,0.07413066178560257,0.14348065853118896,1.0
3700,0.0100,0.640,0.810,0.0008509971085004508,0.78045254945755,0.014169502072036266,0.1145392656326294,1.0
3750,0.0100,0.650,0.820,0.0016198049997910857,0.8690291047096252,0.05273706093430519,0.10475944727659225,1.0
3800,0.0100,0.570,0.780,0.001023339107632637,0.8057551383972168,0.01088801957666874,0.14298611879348755,1.0
3850,0.0100,0.590,0.790,0.0010270564816892147,0.8426119089126587,0.011349808424711227,0.11996570229530334,1.0
3900,0.0100,0.750,0.860,7.261419523274526e-05,0.7250838279724121,0.0010005984222516418,0.09976015239953995,1.0
3950,0.0100,0.680,0.820,0.0008493193308822811,0.7428140640258789,0.007467789575457573,0.22868578135967255,1.0
4000,0.0100,0.580,0.780,0.0006518065929412842,0.8396223783493042,0.007320083677768707,0.10201592743396759,1.0
4050,0.0100,0.640,0.820,0.0009634392336010933,0.8061219453811646,0.020813671872019768,0.10692763328552246,1.0
4100,0.0100,0.590,0.790,0.0007468720432370901,0.7016305923461914,0.005572563502937555,0.1547260880470276,1.0
4150,0.0100,0.550,0.760,0.00126407272182405,0.7667819261550903,0.022206846624612808,0.10210247337818146,1.0
4200,0.0100,0.630,0.800,0.0004638387472368777,0.7394851446151733,0.007507434114813805,0.10627207159996033,1.0
4250,0.0100,0.690,0.840,0.0016474734293296933,0.8659055233001709,0.020722564309835434,0.09531162679195404,1.0
4300,0.0100,0.670,0.830,0.0008664921042509377,0.710379421710968,0.007226312533020973,0.14094287157058716,1.0
4350,0.0100,0.650,0.820,0.0015899817226454616,0.8494171500205994,0.021815219894051552,0.12783628702163696,1.0
4400,0.0100,0.640,0.810,0.0013461806811392307,0.7171186208724976,0.05445210263133049,0.12768316268920898,1.0
4450,0.0100,0.560,0.760,0.0007949623977765441,0.7332762479782104,0.0249429140239954,0.12784278392791748,1.0
4500,0.0100,0.590,0.780,0.00047353963600471616,0.8696953058242798,0.0038789960090070963,0.13162487745285034,1.0
4550,0.0100,0.610,0.790,0.001800093799829483,0.758197546005249,0.011575387790799141,0.16360712051391602,1.0
4600,0.0100,0.640,0.800,0.0016632952028885484,0.8029630184173584,0.00989843625575304,0.13949638605117798,1.0
4650,0.0100,0.610,0.790,0.0006867906195111573,0.9075958728790283,0.008708035573363304,0.1294545829296112,1.0
4700,0.0100,0.560,0.770,0.00018470193026587367,0.8633937239646912,0.004414926748722792,0.07359974086284637,1.0
4750,0.0100,0.580,0.780,0.0006183797959238291,0.6955864429473877,0.007594535127282143,0.1016959398984909,1.0
4800,0.0100,0.480,0.730,0.0012688704300671816,0.7506806254386902,0.016068434342741966,0.0942065566778183,1.0
4850,0.0100,0.620,0.800,0.002175250556319952,0.7179882526397705,0.017057647928595543,0.20444470643997192,1.0
4900,0.0100,0.770,0.870,0.0009686751291155815,0.8313053846359253,0.007916024886071682,0.17778438329696655,1.0
4950,0.0100,0.630,0.800,0.0009109041420742869,0.8081893920898438,0.012788430787622929,0.14255878329277039,1.0
5000,0.0100,0.490,0.740,0.0007845668005757034,0.8012869358062744,0.00992968212813139,0.13635602593421936,1.0
